Country,Date,"Gross domestic product per capita, constant prices","Gross domestic product, current prices","Inflation, average consumer prices",Unemployment rate,Export,Export Market Growth,Import,Net Trade
Germany,2014-12-01,1.792,3767.35,0.761,5.008,1497601767236.31,1494095962932.47,1250712642063.2,258270685690.763
Germany,2015-01-01,1.7148333333333334,3776.1441666666665,0.7535000000000001,4.976083333333333,1503704222513.9143,1498777175250.8398,1256311648250.5767,257825671404.51984
Germany,2015-02-01,1.6376666666666666,3784.9383333333335,0.746,4.944166666666667,1509806677791.5183,1503458387569.21,1261910654437.9534,257380657118.27667
Germany,2015-03-01,1.5605,3793.7325,0.7385,4.91225,1515909133069.1226,1508139599887.58,1267509660625.33,256935642832.0335
Germany,2015-04-01,1.4833333333333334,3802.5266666666666,0.731,4.880333333333334,1522011588346.7268,1512820812205.95,1273108666812.7065,256490628545.79034
Germany,2015-05-01,1.4061666666666666,3811.320833333333,0.7235,4.848416666666667,1528114043624.3308,1517502024524.3198,1278707673000.0833,256045614259.54718
Germany,2015-06-01,1.329,3820.115,0.716,4.8165,1534216498901.935,1522183236842.69,1284306679187.46,255600599973.30402
Germany,2015-07-01,1.2518333333333334,3828.909166666667,0.7085,4.784583333333333,1540318954179.5393,1526864449161.06,1289905685374.8367,255155585687.06082
Germany,2015-08-01,1.1746666666666665,3837.7033333333334,0.7010000000000001,4.752666666666666,1546421409457.1433,1531545661479.43,1295504691562.2134,254710571400.81766
Germany,2015-09-01,1.0975,3846.4975,0.6935,4.72075,1552523864734.7476,1536226873797.7998,1301103697749.5898,254265557114.5745
Germany,2015-10-01,1.0203333333333333,3855.291666666667,0.686,4.688833333333333,1558626320012.3518,1540908086116.17,1306702703936.9666,253820542828.33133
Germany,2015-11-01,0.9431666666666666,3864.0858333333335,0.6785000000000001,4.656916666666667,1564728775289.9558,1545589298434.54,1312301710124.3433,253375528542.08817
Germany,2015-12-01,0.866,3872.88,0.671,4.625,1570831230567.56,1550270510752.91,1317900716311.72,252930514255.845
Germany,2016-01-01,0.9111666666666667,3883.4933333333333,0.6463333333333334,4.586083333333334,1573751271319.335,1554046500819.9932,1322553380342.6924,252920856422.1421
Germany,2016-02-01,0.9563333333333333,3894.1066666666666,0.6216666666666667,4.547166666666667,1576671312071.11,1557822490887.0767,1327206044373.665,252911198588.43918
Germany,2016-03-01,1.0015,3904.7200000000003,0.597,4.50825,1579591352822.885,1561598480954.16,1331858708404.6375,252901540754.73627
Germany,2016-04-01,1.0466666666666666,3915.3333333333335,0.5723333333333334,4.469333333333333,1582511393574.6602,1565374471021.2432,1336511372435.6099,252891882921.03333
Germany,2016-05-01,1.0918333333333332,3925.9466666666667,0.5476666666666667,4.430416666666667,1585431434326.435,1569150461088.3267,1341164036466.5825,252882225087.3304
Germany,2016-06-01,1.137,3936.56,0.523,4.391500000000001,1588351475078.21,1572926451155.41,1345816700497.555,252872567253.6275
Germany,2016-07-01,1.1821666666666666,3947.173333333333,0.49833333333333335,4.3525833333333335,1591271515829.985,1576702441222.4932,1350469364528.5273,252862909419.9246
Germany,2016-08-01,1.2273333333333332,3957.7866666666664,0.4736666666666667,4.313666666666667,1594191556581.76,1580478431289.5767,1355122028559.5,252853251586.22168
Germany,2016-09-01,1.2725,3968.3999999999996,0.449,4.27475,1597111597333.5352,1584254421356.66,1359774692590.4724,252843593752.51874
Germany,2016-10-01,1.3176666666666665,3979.0133333333333,0.42433333333333334,4.235833333333334,1600031638085.31,1588030411423.7432,1364427356621.4448,252833935918.81583
Germany,2016-11-01,1.3628333333333331,3989.6266666666666,0.39966666666666667,4.196916666666667,1602951678837.0852,1591806401490.8267,1369080020652.4175,252824278085.1129
Germany,2016-12-01,1.408,4000.24,0.375,4.158,1605871719588.86,1595582391557.91,1373732684683.39,252814620251.41
Germany,2017-01-01,1.4642499999999998,4014.89,0.48633333333333334,4.124666666666667,1613276798712.9893,1603049422923.7458,1380225889907.1807,253574117572.37234
Germany,2017-02-01,1.5205,4029.54,0.5976666666666667,4.091333333333334,1620681877837.1184,1610516454289.5815,1386719095130.9717,254333614893.33466
Germany,2017-03-01,1.57675,4044.1899999999996,0.7090000000000001,4.058,1628086956961.2476,1617983485655.4175,1393212300354.7625,255093112214.297
Germany,2017-04-01,1.633,4058.8399999999997,0.8203333333333334,4.024666666666667,1635492036085.3767,1625450517021.2532,1399705505578.5532,255852609535.25934
Germany,2017-05-01,1.68925,4073.49,0.9316666666666666,3.9913333333333334,1642897115209.5059,1632917548387.089,1406198710802.344,256612106856.22168
Germany,2017-06-01,1.7455,4088.14,1.0430000000000001,3.958,1650302194333.635,1640384579752.9248,1412691916026.1348,257371604177.18402
Germany,2017-07-01,1.8017500000000002,4102.79,1.1543333333333334,3.924666666666667,1657707273457.7642,1647851611118.7607,1419185121249.9258,258131101498.14633
Germany,2017-08-01,1.858,4117.44,1.2656666666666667,3.8913333333333333,1665112352581.8933,1655318642484.5967,1425678326473.7166,258890598819.10867
